record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_prop_data_url,gel_prop_alpha_tubulin_to_actin,gel_prop_spec_number,gel_prop_region,gel_prop_expt_date
CB8A5,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.858093552907156,52672.8,15,2024-05-11
2D65C,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.24124401933658,73626.2,15,2024-05-11
5537F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,4.00084484385132,50251.5,15,2024-05-11
9444B,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.77037643156267,50278.4,15,2024-05-11
0B3EF,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.05157888055746,54197.1,15,2024-05-11
78952,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.44639911694656,53131.4,15,2024-05-11
BE497,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.52746891238886,52621.3,15,2024-05-11
78BBB,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.28312517858447,51985.4,15,2024-05-11
08A03,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.21493527954373,51515.2,15,2024-05-11
4D9E0,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.999301885058668,50833.1,15,2024-05-11
0F84D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.16710858583911,53136.3,15,2024-05-11
8F60A,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.948144509298186,53229.5,15,2024-05-11
59386,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.80295171661939,52727.3,15,2024-05-11
B34D2,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.33398780547139,51935.4,15,2024-05-11
CEDF2,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.30808181748304,52247.1,15,2024-05-11
AD616,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.23352981714743,50971.3,15,2024-05-11
0DC6E,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.09754069234485,51003.4,15,2024-05-11
40840,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.42563693707013,51223.7,15,2024-05-11
06A91,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,6.30115898261303,51236.7,15,2024-05-11
31331,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.476821145746358,52617.8,15,2024-05-11
B54F0,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.549003822736435,54206.1,15,2024-05-11
94BFD,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.545995066654804,54199.2,15,2024-05-11
E9D4C,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.327414580736694,54207.4,15,2024-05-11
4FB2F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.20788700398644,52703.2,15,2024-05-11
1915D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.836413399603829,52640.2,15,2024-05-11
C35CE,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.566117580872555,51993.1,15,2024-05-11
98578,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.15379897227433,51758.7,15,2024-05-11
98868,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.816503637938137,54216.2,15,2024-05-11
5C0D5,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.6824252125817,51317.3,15,2024-05-11
3B2F6,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.22152437049784,51333.4,15,2024-05-11
0D29F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.612985420219371,51342.7,15,2024-05-11
D1701,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.439660959264829,51435.8,15,2024-05-11
424E8,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.933097853695712,50862.6,15,2024-05-11
D6A67,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.25168881705117,54202.3,15,2024-05-11
3C997,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.98555230800034,73574.2,15,2024-05-11
